overdose_deaths,year,fipscounty
135,2015,47157
150,2016,47157
159,2017,47157
123,2018,47157
122,2015,47093
147,2016,47093
196,2017,47093
218,2018,47093
127,2015,47037
178,2016,47037
184,2017,47037
200,2018,47037
44,2015,47149
45,2016,47149
48,2017,47149
68,2018,47149
26,2015,47189
27,2016,47189
26,2017,47189
19,2018,47189
21,2015,47187
19,2016,47187
24,2017,47187
30,2018,47187
23,2015,47163
36,2016,47163
29,2017,47163
43,2018,47163
24,2015,47125
15,2016,47125
22,2017,47125
40,2018,47125
37,2015,47065
53,2016,47065
60,2017,47065
41,2018,47065
7,2015,47185
8,2016,47185
0,2017,47185
4,2018,47185
4,2015,47183
4,2016,47183
1,2017,47183
5,2018,47183
3,2015,47181
1,2016,47181
0,2017,47181
4,2018,47181
17,2015,47179
30,2016,47179
24,2017,47179
9,2018,47179
5,2015,47177
5,2016,47177
1,2017,47177
4,2018,47177
3,2015,47173
6,2016,47173
4,2017,47173
2,2018,47173
3,2015,47171
5,2016,47171
7,2017,47171
5,2018,47171
12,2015,47167
16,2016,47167
12,2017,47167
12,2018,47167
18,2015,47165
21,2016,47165
28,2017,47165
33,2018,47165
5,2015,47159
8,2016,47159
2,2017,47159
3,2018,47159
18,2015,47155
17,2016,47155
24,2017,47155
38,2018,47155
2,2015,47153
3,2016,47153
3,2017,47153
3,2018,47153
4,2015,47151
1,2016,47151
2,2017,47151
1,2018,47151
12,2015,47147
9,2016,47147
15,2017,47147
10,2018,47147
15,2015,47145
21,2016,47145
16,2017,47145
25,2018,47145
3,2015,47143
3,2016,47143
4,2017,47143
2,2018,47143
12,2015,47141
10,2016,47141
10,2017,47141
8,2018,47141
3,2015,47139
2,2016,47139
2,2017,47139
0,2018,47139
4,2015,47133
6,2016,47133
5,2017,47133
5,2018,47133
2,2015,47131
1,2016,47131
0,2017,47131
3,2018,47131
10,2015,47129
6,2016,47129
3,2017,47129
3,2018,47129
6,2015,47123
6,2016,47123
5,2017,47123
8,2018,47123
9,2015,47109
3,2016,47109
3,2017,47109
0,2018,47109
4,2015,47107
5,2016,47107
6,2017,47107
4,2018,47107
11,2015,47119
15,2016,47119
12,2017,47119
18,2018,47119
5,2015,47117
10,2016,47117
6,2017,47117
5,2018,47117
3,2015,47115
3,2016,47115
2,2017,47115
1,2018,47115
5,2015,47113
7,2016,47113
12,2017,47113
5,2018,47113
3,2015,47111
5,2016,47111
2,2017,47111
2,2018,47111
9,2015,47105
12,2016,47105
18,2017,47105
7,2018,47105
2,2015,47103
5,2016,47103
4,2017,47103
7,2018,47103
2,2015,47099
5,2016,47099
7,2017,47099
7,2018,47099
3,2015,47091
1,2016,47091
1,2017,47091
1,2018,47091
2,2015,47089
3,2016,47089
7,2017,47089
5,2018,47089
3,2015,47087
4,2016,47087
2,2017,47087
2,2018,47087
4,2015,47085
2,2016,47085
4,2017,47085
1,2018,47085
2,2015,47083
2,2016,47083
1,2017,47083
2,2018,47083
5,2015,47081
4,2016,47081
3,2017,47081
8,2018,47081
4,2015,47077
2,2016,47077
5,2017,47077
6,2018,47077
14,2015,47073
19,2016,47073
5,2017,47073
11,2018,47073
7,2015,47071
7,2016,47071
2,2017,47071
5,2018,47071
3,2015,47067
1,2016,47067
3,2017,47067
3,2018,47067
11,2015,47063
19,2016,47063
9,2017,47063
7,2018,47063
5,2015,47059
13,2016,47059
17,2017,47059
18,2018,47059
2,2015,47057
3,2016,47057
1,2017,47057
1,2018,47057
9,2015,47055
4,2016,47055
5,2017,47055
4,2018,47055
6,2015,47053
5,2016,47053
6,2017,47053
6,2018,47053
7,2015,47051
2,2016,47051
3,2017,47051
1,2018,47051
2,2015,47049
2,2016,47049
1,2017,47049
1,2018,47049
5,2015,47047
2,2016,47047
3,2017,47047
4,2018,47047
16,2015,47043
17,2016,47043
6,2017,47043
10,2018,47043
2,2015,47041
1,2016,47041
7,2017,47041
4,2018,47041
5,2015,47039
3,2016,47039
0,2017,47039
2,2018,47039
2,2015,47035
6,2016,47035
9,2017,47035
7,2018,47035
8,2015,47031
12,2016,47031
12,2017,47031
13,2018,47031
